0.5,,0.75,,1,,1.25,,1.5,,1.75,,2,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.004507481,0.003325267,0.001219526,0.001898101,0.004290253,0.000865803,0.004199185,0.000374066,0.005157233,0.000145731,0.00500241,5.58512E-05,0.0059856,2.54259E-05
0.0636821,0.003809392,0.057191938,0.002111196,0.045874169,0.000962964,0.041967955,0.000426536,0.041818426,0.000168919,0.038335579,6.58075E-05,0.034872582,2.89916E-05
0.119661182,0.004415777,0.113166255,0.002376096,0.092259014,0.00110312,0.076406055,0.000486362,0.080702051,0.00019822,0.078341999,8.34768E-05,0.0715437,3.57354E-05
0.174040588,0.005088542,0.161146964,0.002674172,0.135449274,0.001286237,0.110844155,0.00055458,0.122923624,0.000243333,0.112794654,0.000104167,0.108214156,4.38678E-05
0.236416462,0.005968695,0.197932809,0.002939324,0.183438557,0.001526564,0.155281543,0.000661547,0.16181585,0.000301169,0.15169085,0.000132135,0.142666811,5.47406E-05
0.297190756,0.006878184,0.249116678,0.00342733,0.229831977,0.001844151,0.19305693,0.000785902,0.194040119,0.000357776,0.191703225,0.000173912,0.17823366,7.00091E-05
0.34996763,0.007741145,0.284308565,0.003879967,0.276222539,0.002188711,0.229722754,0.000937465,0.228488143,0.000433826,0.233933399,0.000225177,0.209352999,8.59397E-05
0.409138439,0.008661271,0.31630015,0.004315254,0.313017911,0.002551987,0.261942392,0.001082172,0.262937491,0.00053037,0.27283158,0.00028917,0.243804331,0.000106365
0.46990511,0.009520735,0.35628725,0.004856478,0.348212657,0.002940628,0.295274238,0.001264674,0.304052811,0.000667285,0.311729099,0.00036983,0.279369195,0.00013437
0.522676268,0.010342434,0.399471793,0.005465634,0.385005171,0.003368531,0.323054305,0.001471885,0.337390611,0.000809121,0.345066238,0.000446606,0.312709642,0.000165625
0.596225092,0.010844824,0.441052851,0.0059723,0.428190667,0.003813492,0.359718145,0.001734286,0.36961091,0.000937853,0.371738067,0.000526209,0.35049363,0.000207526
0.664977751,0.011371458,0.485830399,0.006487594,0.468173956,0.004191651,0.390831529,0.002051824,0.400720986,0.001087062,0.397294379,0.0006,0.387162763,0.000252673
0.740123391,0.011783969,0.529003509,0.006802123,0.503358221,0.004526387,0.416383871,0.00228272,0.440714173,0.001270413,0.42951534,0.000698316,0.426051019,0.000305133
0.810470008,0.011996963,0.589764465,0.007216959,0.541734213,0.004717839,0.439713119,0.002498288,0.477371396,0.001436785,0.455066359,0.000770556,0.466044206,0.000356599
0.888808328,0.012070768,0.658515218,0.00747862,0.583301932,0.004746348,0.4685915,0.002700843,0.524018646,0.001605134,0.473950744,0.000822827,0.500479659,0.000400004
0.970343139,0.012073672,0.71766983,0.007568742,0.636058798,0.004719153,0.520788544,0.002992719,0.565106177,0.001700137,0.49394469,0.000875052,0.54268403,0.000441406
1.039087223,0.012005059,0.796007197,0.007570492,0.696808321,0.004664612,0.572976325,0.003131214,0.602858406,0.001749815,0.517267323,0.000919229,0.581551114,0.000467528
1.091845042,0.012006928,1.112540772,0.006976621,0.755954357,0.004476607,0.609614361,0.003144414,0.641714904,0.00173573,0.545025556,0.0009345,0.605977353,0.00047141
1.14780221,0.012151503,0.96386441,0.007182415,0.808705507,0.004296099,0.661794202,0.003132035,0.676128523,0.001700694,0.593870757,0.000908201,0.634839855,0.000461887
1.211758704,0.01274141,0.883933084,0.00739578,0.994140084,0.003865223,0.703980047,0.00308149,0.707207502,0.001625871,0.622733258,0.000889855,0.839067379,0.000331603
1.27731106,0.013125548,1.053387113,0.006934356,0.895028861,0.004099014,1.002575242,0.002194846,0.925865285,0.001148331,0.664911825,0.000836899,0.740286603,0.000397019
1.336469483,0.013601048,1.179686134,0.006936941,0.853465906,0.004196419,0.843844384,0.002659869,0.810429834,0.001363574,0.916870358,0.00056974,0.794671012,0.000358411
1.400425976,0.014261324,1.245236586,0.007062225,0.95097936,0.003980477,0.776135309,0.00291027,0.874806253,0.00123101,0.781455515,0.000696182,0.689232203,0.000437991
1.465981192,0.014953724,1.307588641,0.007147396,1.050092489,0.003798015,0.920430615,0.00236232,0.757154325,0.001498133,0.854711738,0.000620836,0.872360189,0.000304285
1.541124927,0.015314345,1.448291402,0.007858491,1.107644567,0.003754085,1.043645571,0.002089762,0.965823405,0.001079987,0.722629551,0.000768011,0.916751263,0.000272445
1.6194642,0.015499768,1.505855866,0.008387027,1.16839409,0.003710697,1.10692103,0.001998012,1.010222419,0.001015723,0.964596072,0.000522827,0.960034099,0.000246953
1.696202845,0.015503279,1.577808827,0.008951489,1.240340381,0.003800148,1.156877777,0.001957772,1.061284097,0.000963166,1.021204236,0.00048176,1.007755844,0.000221113
1.777734798,0.01523486,1.644961811,0.009330903,1.309092087,0.003961238,1.2212714,0.001966186,1.115677769,0.000920854,1.074484376,0.000451252,1.057697374,0.000197169
1.856067402,0.014795271,1.704120234,0.009668935,1.377845699,0.004178186,1.303428598,0.00197474,1.173405419,0.000898638,1.122211414,0.000417504,1.102091756,0.000180192
1.931198751,0.014033,1.772863365,0.009557413,1.435406352,0.004355157,1.373377969,0.002040983,1.230022845,0.000876955,1.168834183,0.000400793,1.15426035,0.000167403
1.993535562,0.012922477,1.836807473,0.009281248,1.492303545,0.004615409,1.449989342,0.002118154,1.284423795,0.000877096,1.21546026,0.000392718,1.209760936,0.000156803
2.016807083,0.012540481,1.907141704,0.00875114,1.565587556,0.004889045,1.53326735,0.00227156,1.335494736,0.000880831,1.273191218,0.000391178,1.263045046,0.00015053
2.119849662,0.011646615,1.953497013,0.008348694,1.627766686,0.005094524,1.608775778,0.002466157,1.3843492,0.000906599,1.328706361,0.000400982,1.317445334,0.000149938
2.249847389,0.01077174,1.995051394,0.007733041,1.70326916,0.005330652,1.684284868,0.002688421,1.436534334,0.00093313,1.383114589,0.000419542,1.382956458,0.000157528
2.407734455,0.00972043,1.371544181,0.007450272,1.766555205,0.005442036,1.745359729,0.002906668,1.485392106,0.000980312,1.429750591,0.000437154,1.420710011,0.000163465
2.59459837,0.008628946,2.019742128,0.007579046,1.835391045,0.005510482,1.796437948,0.003053661,1.547577852,0.001064251,1.479720571,0.000464942,1.471795507,0.000179651
2.769002877,0.007818826,2.105379264,0.007067998,1.898672459,0.005466517,1.847516828,0.003221263,1.606434252,0.001164875,1.51747677,0.000490441,1.51844011,0.000197438
2.967427993,0.007026841,2.188584113,0.006537752,1.950845683,0.00522634,1.896367322,0.003234959,1.650857085,0.001269743,1.563007841,0.000528062,1.565088683,0.000222387
3.188887755,0.006289188,2.303595362,0.005948683,1.994135135,0.004935524,1.931892488,0.003195761,1.699724781,0.00141853,1.617425993,0.000587536,1.611737256,0.000250489
3.42213604,0.00562901,2.397952632,0.005457499,2.019868077,0.004850765,1.971854578,0.003080389,1.754142933,0.001578294,1.67073326,0.000651033,1.649502056,0.000278687
3.667360098,0.005100428,2.503094615,0.004986346,2.105509349,0.004542241,1.999604872,0.00298127,1.806337992,0.001727486,1.714048516,0.00072137,1.686156633,0.000310059
3.957447129,0.004602438,2.598421838,0.004574688,2.194788041,0.004167158,2.022808733,0.002919662,1.855196425,0.001822289,1.756252225,0.000792779,1.729473874,0.000347808
4.270482396,0.004136102,2.727418864,0.004078212,2.278373794,0.003823129,2.073844389,0.002767982,1.910712892,0.001883338,1.798457258,0.000878427,1.767238674,0.000386961
4.614652595,0.003762925,2.906750972,0.003475252,2.365149572,0.003436433,2.143901326,0.002570902,1.965114503,0.001891376,1.835106541,0.000945786,1.801668834,0.00042006
5.084121524,0.003381294,3.1237092,0.002925166,2.451833585,0.003101543,2.216328674,0.002358705,1.993976343,0.001845589,1.867314931,0.001018296,1.838319441,0.000455993
5.493855762,0.003114234,3.394237006,0.002431958,2.545223157,0.002731346,2.303934074,0.002077157,2.020145423,0.001815872,1.899519351,0.001069732,1.882742274,0.000497044
5.920195841,0.00289189,3.693299179,0.00203019,2.634861158,0.002445083,2.378480832,0.001867113,2.105791227,0.001742662,1.925059122,0.00110095,1.92271892,0.000524308
6.423913401,0.002696342,4.024262767,0.00173693,2.73143806,0.002162089,2.469079246,0.001630847,2.192042505,0.001618528,1.970578946,0.00110562,1.954916062,0.000526511
7.038325267,0.0025554,4.378823232,0.00147997,2.819818874,0.001935515,2.570241346,0.001389894,2.266097501,0.001478871,1.994999231,0.001074428,1.982671648,0.000526554
7.626599441,0.002421962,4.777814315,0.001287086,2.923173453,0.00171852,2.712856502,0.001109357,2.332951392,0.001340274,1.94504513,0.001114637,1.998212792,0.000520143
8.298399111,0.002342916,5.227591501,0.001147161,3.034514476,0.001519607,2.89127577,0.000846411,2.411781969,0.0011707,2.02029798,0.001057758,2.020501407,0.000514582
9.029359696,0.002294458,5.743515321,0.001009945,3.145734675,0.001360333,3.047482204,0.000678347,2.482950855,0.001010119,2.085651816,0.001002771,2.077215346,0.000495897
9.85190829,0.00229344,6.2754903,0.000922541,3.274605438,0.001197948,3.221032457,0.000541425,2.545630891,0.000868022,2.147166271,0.000958472,2.135523645,0.000473993
,,6.952289597,0.000839199,3.43718494,0.001037768,3.442380038,0.000419908,2.631665988,0.000721849,2.207452012,0.000875794,2.19243756,0.000445701
,,7.638362552,0.000785613,3.607834219,0.000902694,3.663684088,0.00033377,2.701850526,0.00059786,2.269432987,0.000793721,2.241545509,0.000415689
,,8.39213926,0.000735448,3.776480441,0.000798176,3.910020067,0.000266387,2.793179785,0.000479196,2.326704306,0.000722302,2.304487718,0.000372135
,,9.194785287,0.000705619,3.997028087,0.000691421,4.178690593,0.000215233,2.887587939,0.000392027,2.37554492,0.000644003,2.35286063,0.000333156
,,9.839938837,0.00068826,4.283484623,0.000589179,4.478194586,0.000175329,2.9976147,0.000314211,2.425410763,0.000574193,2.39893369,0.000292219
,,,,4.590460244,0.000510345,4.779276858,0.000144001,3.116144981,0.000250809,2.472908724,0.00049749,2.442527861,0.000255267
,,,,4.845099355,0.000453087,5.15025181,0.000118265,3.239360277,0.000201023,2.528327815,0.000427512,2.493812605,0.000219362
,,,,5.228363137,0.000398928,5.565404698,9.7127E-05,3.353479022,0.00016717,2.595753433,0.000356991,2.539133851,0.00019006
,,,,5.626350556,0.000351248,6.01400514,8.14168E-05,3.476417666,0.000141312,2.687226358,0.000275782,2.599663373,0.00014987
,,,,6.046253174,0.000311812,6.480788267,6.93755E-05,3.638958366,0.000116074,2.79350738,0.000207023,2.676408575,0.000118659
,,,,6.615454672,0.000273399,7.032304192,5.83914E-05,3.835572878,9.07687E-05,2.903981896,0.000159272,2.744000547,9.47232E-05
,,,,7.188314034,0.000243685,7.641308349,4.97533E-05,4.087814637,7.12676E-05,3.018830516,0.000121039,2.817198691,7.49982E-05
,,,,7.85411792,0.000220781,8.372272273,4.27399E-05,4.278933998,5.92625E-05,3.151276986,9.19823E-05,2.900372435,5.84154E-05
,,,,8.677139709,0.000197576,9.084696564,3.763E-05,4.554010691,4.76878E-05,3.284979564,7.07651E-05,2.990130016,4.62501E-05
,,,,9.896460709,0.00017391,9.857760307,3.27266E-05,4.833358406,3.93287E-05,3.452908371,5.42173E-05,3.104079955,3.57285E-05
,,,,,,,,5.151185894,3.23016E-05,3.619390336,4.15396E-05,3.231314501,2.69304E-05
,,,,,,,,5.535692795,2.63126E-05,3.825536296,3.15655E-05,3.363770095,2.0051E-05
,,,,,,,,5.932445159,2.17882E-05,4.009961574,2.51952E-05,3.521090262,1.49898E-05
,,,,,,,,6.473081153,1.73165E-05,4.238345631,1.93821E-05,3.640105611,1.21631E-05
,,,,,,,,6.975507904,1.45753E-05,4.4797243,1.52187E-05,3.77880365,9.78873E-06
,,,,,,,,7.485785019,1.23186E-05,4.774341546,1.17069E-05,3.933672248,7.6866E-06
,,,,,,,,8.111588508,1.04109E-05,5.046234253,9.34392E-06,4.111909487,6.18588E-06
,,,,,,,,8.826290893,8.69095E-06,5.355803045,7.42725E-06,4.280420134,4.93766E-06
,,,,,,,,9.81900902,7.13653E-06,5.692228142,5.95224E-06,4.480575222,3.90907E-06
,,,,,,,,,,6.058160239,4.7897E-06,4.716128939,3.06942E-06
,,,,,,,,,,6.45656035,3.79158E-06,4.957209878,2.38073E-06
,,,,,,,,,,6.928934518,3.01366E-06,5.174634584,1.97972E-06
,,,,,,,,,,7.394799979,2.44496E-06,5.439134926,1.57371E-06
,,,,,,,,,,7.924829399,1.96736E-06,5.717138793,1.27684E-06
,,,,,,,,,,8.481089776,1.60263E-06,5.992732337,1.04879E-06
,,,,,,,,,,9.139426157,1.29482E-06,,
,,,,,,,,,,9.84887653,1.03761E-06,,
