0.0000000,,0.0005000,,0.0010000,,0.0020000,,0.0050000,,0.0100000,,0.0200000,,0.0400000,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0040137,1.7974413,0.0040129,2.4925662,0.0041355,2.9959850,0.0058681,2.6917312,0.0106320,2.1193992,0.0174193,1.7166379,0.0303553,1.3722075,0.0505664,1.1571401
0.0043116,1.7639401,0.0041234,2.4429679,0.0041947,2.9524170,0.0059301,2.6622392,0.0108107,2.0892381,0.0177777,1.6884886,0.0310564,1.3494213,0.0518622,1.1377060
0.0044991,1.7451799,0.0042396,2.3947105,0.0042652,2.9048275,0.0060446,2.6153206,0.0110741,2.0476831,0.0183236,1.6502865,0.0321089,1.3152418,0.0541850,1.1102319
0.0046948,1.7270900,0.0043563,2.3451122,0.0043396,2.8558975,0.0061539,2.5697424,0.0113509,2.0034469,0.0188862,1.6127547,0.0333201,1.2830740,0.0563678,1.0887898
0.0048839,1.7096699,0.0044735,2.2995358,0.0044180,2.8083083,0.0062883,2.5221539,0.0116563,1.9585408,0.0195142,1.5732124,0.0345344,1.2515763,0.0588197,1.0666780
0.0051279,1.6889000,0.0045825,2.2579808,0.0045006,2.7613896,0.0064177,2.4752356,0.0119624,1.9163159,0.0201258,1.5356808,0.0359036,1.2214198,0.0614540,1.0479181
0.0053974,1.6681306,0.0047058,2.2117340,0.0045819,2.7151410,0.0065498,2.4289875,0.0122690,1.8747611,0.0207951,1.4988198,0.0373730,1.1912637,0.0641667,1.0291581
0.0056950,1.6460212,0.0048533,2.1567740,0.0046704,2.6675521,0.0067011,2.3834103,0.0126146,1.8311959,0.0214998,1.4619590,0.0388786,1.1657996,0.0670405,1.0097278
0.0059611,1.6279320,0.0050085,2.1065063,0.0047695,2.6206338,0.0068433,2.3398437,0.0129699,1.7909823,0.0222421,1.4250983,0.0404948,1.1416765,0.0701294,0.9929791
0.0062551,1.6085026,0.0051655,2.0542275,0.0048617,2.5730449,0.0070057,2.2942666,0.0133434,1.7480876,0.0229959,1.3902484,0.0422563,1.1188943,0.0734059,0.9775712
0.0066123,1.5863935,0.0053571,1.9985983,0.0049434,2.5402025,0.0071676,2.2500301,0.0137193,1.7078740,0.0238193,1.3560693,0.0440399,1.1001339,0.0767407,0.9648443
0.0069942,1.5656252,0.0058514,1.8705850,0.0050203,2.5060193,0.0073558,2.2051238,0.0141318,1.6676608,0.0247331,1.3239016,0.0450014,1.0914242,0.0803260,0.9534583
0.0073663,1.5448560,0.0055833,1.9315746,0.0051110,2.4664740,0.0075351,2.1608875,0.0145837,1.6287886,0.0256661,1.2930745,0.0465837,1.0753437,0.0845990,0.9460956
0.0077869,1.5240875,0.0060909,1.8196488,0.0052355,2.4188860,0.0077378,2.1193330,0.0150687,1.5912573,0.0264377,1.2736413,0.0490923,1.0512230,0.0846513,0.9440847
0.0081659,1.5059987,0.0062663,1.7827870,0.0053598,2.3712980,0.0079508,2.0764380,0.0155889,1.5577482,0.0272326,1.2508565,0.0508184,1.0364830,0.0892094,0.9400737
0.0085474,1.4885798,0.0064747,1.7459260,0.0054735,2.3304127,0.0081495,2.0429270,0.0159490,1.5369730,0.0282075,1.2267322,0.0528981,1.0197333,0.0939549,0.9374032
0.0089522,1.4725017,0.0067024,1.7110764,0.0055965,2.2868463,0.0083378,2.0074046,0.0164286,1.5048036,0.0291813,1.2052889,0.0546904,1.0070041,0.0973781,0.9360700
0.0093532,1.4570934,0.0069082,1.6809182,0.0057293,2.2432802,0.0085199,1.9685304,0.0169225,1.4746453,0.0303195,1.1831762,0.0564737,0.9976263,0.0996267,0.9347341
0.0097359,1.4436953,0.0071423,1.6500903,0.0058726,2.1997143,0.0087383,1.9269756,0.0174313,1.4471682,0.0314825,1.1637447,0.0587848,0.9869095,0.1,0.93694517
0.0102286,1.4249365,0.0074254,1.6185932,0.0059934,2.1648618,0.0089678,1.8840804,0.0179222,1.4196907,0.0324490,1.1483336,0.0588574,0.9862394,0.103472362,0.933806205
0.0106999,1.4101988,0.0076204,1.5984889,0.0061699,2.1152639,0.0092204,1.8405152,0.0184839,1.3935546,0.0339232,1.1275628,0.0634590,0.9762002,0.107303907,0.931450151
0.0112344,1.3921102,0.0078544,1.5763745,0.0063241,2.0743794,0.0094101,1.8090142,0.0190631,1.3674184,0.0352027,1.1114828,0.0673315,0.9681687,0.111939884,0.929093087
